"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLR","Fluor Corporation","10.12","$1.42B","n/a","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/flr",
"FFIC","Flushing Financial Corporation","10.12","$285.53M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ffic",
"FLUX","Flux Power Holdings, Inc.","8.9","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/flux",
"FLY","Fly Leasing Limited","5.81","$177.1M","2007","n/a","n/a","https://old.nasdaq.com/symbol/fly",
"FEAC","Flying Eagle Acquisition Corp.","10.2","$879.75M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/feac",
"FEAC.U","Flying Eagle Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/feac.u",
"FEAC.WS","Flying Eagle Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/feac.ws",
"FMC","FMC Corporation","89.18","$11.54B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/fmc",
"FNCB","FNCB Bancorp Inc.","5.86","$118.23M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fncb",
"FOCS","Focus Financial Partners Inc.","23.73","$1.65B","2018","Finance","Investment Managers","https://old.nasdaq.com/symbol/focs",
"FMX","Fomento Economico Mexicano S.A.B. de C.V.","63.78","$114.11B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/fmx",
"FONR","Fonar Corporation","20.53","$134.99M","1981","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/fonr",
